
   t          f(t)        Pn(t)       Er(t)
0.942478     4.042253    4.167338   -0.030944
0.948761     4.036527    4.157157   -0.029885
0.955044     4.030587    4.146839   -0.028842
0.961327     4.024434    4.136385   -0.027818
0.967611     4.018069    4.125796   -0.026811
0.973894     4.011495    4.115076   -0.025821
0.980177     4.004711    4.104226   -0.024849
0.986460     3.997720    4.093248   -0.023896
0.992743     3.990523    4.082144   -0.022959
0.999026     3.983122    4.070915   -0.022041
1.005310     3.975517    4.059565   -0.021141
1.011593     3.967710    4.048093   -0.020259
1.017876     3.959703    4.036504   -0.019395
1.024159     3.951498    4.024797   -0.018550
1.030442     3.943096    4.012976   -0.017722
1.036726     3.934499    4.001042   -0.016913
1.043009     3.925708    3.988997   -0.016122
1.049292     3.916725    3.976842   -0.015349
1.055575     3.907552    3.964580   -0.014594
1.061858     3.898191    3.952212   -0.013858
1.068142     3.888643    3.939740   -0.013140
1.074425     3.878911    3.927167   -0.012440
1.080708     3.868996    3.914492   -0.011759
1.086991     3.858901    3.901719   -0.011096
1.093274     3.848626    3.888850   -0.010451
1.099557     3.838175    3.875885   -0.009825
1.105841     3.827549    3.862826   -0.009217
1.112124     3.816750    3.849676   -0.008627
1.118407     3.805780    3.836436   -0.008055
1.124690     3.794642    3.823108   -0.007502
1.130973     3.783337    3.809693   -0.006966
1.137257     3.771867    3.796193   -0.006449
1.143540     3.760235    3.782610   -0.005950
1.149823     3.748443    3.768944   -0.005469
1.156106     3.736494    3.755199   -0.005006
1.162389     3.724388    3.741376   -0.004561
1.168672     3.712129    3.727475   -0.004134
1.174956     3.699718    3.713500   -0.003725
1.181239     3.687159    3.699451   -0.003334
1.187522     3.674453    3.685329   -0.002960
1.193805     3.661603    3.671138   -0.002604
1.200088     3.648611    3.656877   -0.002266
1.206372     3.635479    3.642549   -0.001945
1.212655     3.622210    3.628155   -0.001641
1.218938     3.608805    3.613697   -0.001355
1.225221     3.595269    3.599176   -0.001087
1.231504     3.581602    3.584593   -0.000835
1.237788     3.567807    3.569951   -0.000601
1.244071     3.553887    3.555251   -0.000384
1.250354     3.539844    3.540493   -0.000183
1.256637     3.525681    3.525681   0.000000
1.262920     3.511399    3.510814   0.000167
1.269203     3.497002    3.495895   0.000317
1.275487     3.482492    3.480925   0.000450
1.281770     3.467872    3.465905   0.000567
1.288053     3.453143    3.450837   0.000668
1.294336     3.438308    3.435722   0.000752
1.300619     3.423371    3.420562   0.000820
1.306903     3.408332    3.405358   0.000873
1.313186     3.393196    3.390111   0.000909
1.319469     3.377964    3.374823   0.000930
1.325752     3.362638    3.359494   0.000935
1.332035     3.347222    3.344128   0.000924
1.338318     3.331718    3.328724   0.000899
1.344602     3.316127    3.313284   0.000858
1.350885     3.300454    3.297809   0.000801
1.357168     3.284700    3.282301   0.000730
1.363451     3.268867    3.266761   0.000644
1.369734     3.252959    3.251190   0.000544
1.376018     3.236977    3.235589   0.000429
1.382301     3.220925    3.219961   0.000299
1.388584     3.204804    3.204305   0.000156
1.394867     3.188617    3.188624   -0.000002
1.401150     3.172367    3.172918   -0.000174
1.407434     3.156056    3.157189   -0.000359
1.413717     3.139686    3.141438   -0.000558
1.420000     3.123260    3.125666   -0.000770
1.426283     3.106780    3.109874   -0.000996
1.432566     3.090249    3.094064   -0.001234
1.438849     3.073669    3.078236   -0.001486
1.445133     3.057042    3.062392   -0.001750
1.451416     3.040372    3.046534   -0.002027
1.457699     3.023659    3.030661   -0.002316
1.463982     3.006907    3.014776   -0.002617
